,rank,names,nationality,gender,age_category,time,race
1283,1284,Laurent STAQUET,Belgium,Men,45-49,13:18:48,OCC
1284,1285,Andrzej KRZYSZTOFOWICZ,Poland,Men,45-49,13:18:59,OCC
1285,1285,Karolina KRZYSZTOFOWICZ,Poland,Women,45-49,13:18:59,OCC
1286,1287,Claire POIRSON,France,Women,40-44,13:19:58,OCC
1287,1288,Cheekin YIP,Malaysia,Men,55-59,13:20:17,OCC
1288,1289,Sediqa KHATIEB,South Africa,Women,40-44,13:20:43,OCC
1289,1290,Mike TOBY,Australia,Men,55-59,13:21:31,OCC
1290,1291,Nicole LEMANSKI,United States of america,Women,40-44,13:21:36,OCC
1291,1292,Lucie COUTANCEAU,France,Women,20-34,13:21:47,OCC
1292,1293,Ka Lun Alan NG,"Hong Kong, China",Men,45-49,13:22:10,OCC
1293,1294,Fabrice PERE,France,Men,55-59,13:22:16,OCC
1294,1295,Philippe BLANC,France,Men,50-54,13:22:26,OCC
1295,1296,Shui Hing CHOY,"Hong Kong, China",Women,45-49,13:22:42,OCC
1296,1297,Daniel BARRIO,Spain,Men,50-54,13:24:19,OCC
1297,1298,Maria Alejandra ORTIZ,Argentina,Women,55-59,13:24:20,OCC
1298,1299,Jun LIU,China,Women,40-44,13:25:12,OCC
1299,1300,Si QIAN,China,Men,40-44,13:25:41,OCC
1300,1301,Martin GREENSLADE,United Kingdom,Men,55-59,13:25:53,OCC
1301,1301,Vic HAYMES,United Kingdom,Women,45-49,13:25:53,OCC
1302,1303,Jane STEPHENS,United Kingdom,Women,55-59,13:25:55,OCC
1303,1304,Gwangjun KIM,South Korea,Men,40-44,13:26:15,OCC
1304,1305,Jing LIU,China,Women,40-44,13:26:36,OCC
1305,1306,Sairung NIEHAUS,United States of america,Women,45-49,13:27:00,OCC
1306,1307,Neil CAMERON,New Zealand,Men,70-74,13:27:17,OCC
1307,1308,Wisit KONGCHAROENSOMBAT,Thailand,Men,60-64,13:29:23,OCC
1308,1309,Kwangheum CHOI,South Korea,Men,45-49,13:31:34,OCC
1309,1310,Massimiliano MARTA,Italy,Men,60-64,13:33:53,OCC
1310,1311,Alessandra DONATO,Italy,Women,55-59,13:33:55,OCC
1311,1312,Pongsatorn YOTHEPITAK,Thailand,Men,50-54,13:34:43,OCC
1312,1313,Giuseppe CAPELLI,Italy,Men,65-69,13:35:06,OCC
1313,1314,Elena VĂLEANU,Romania,Women,20-34,13:35:15,OCC
1314,1315,Noelia MARTIN JAS,Argentina,Women,40-44,13:35:27,OCC
1315,1316,Magdalena STERNA,Poland,Women,45-49,13:35:29,OCC
1316,1317,Belen HERRERA SUAREZ,Spain,Women,50-54,13:36:38,OCC
1317,1318,Carman CHU,"Hong Kong, China",Women,40-44,13:37:21,OCC
1318,1319,Tossaporn AMORNTAWEECHAI,Thailand,Men,40-44,13:38:00,OCC
1319,1320,Desi ARIYANI,Indonesia,Women,45-49,13:38:05,OCC
1320,1321,Yangyang LI,China,Women,45-49,13:38:07,OCC
1321,1322,Jérome RICHARD,France,Men,35-39,13:38:11,OCC
1322,1323,Raphael WALTHER,France,Men,45-49,13:38:15,OCC
1323,1324,Laurence AKIYOSHI,United States of america,Men,70-74,13:38:55,OCC
1324,1325,Ni YANG,China,Women,55-59,13:39:04,OCC
1325,1326,Seoungki KOOK,South Korea,Men,45-49,13:39:24,OCC
1326,1327,Chanathiwat CHOKVANTHONG,Thailand,Men,20-34,13:40:06,OCC
1327,1328,Aina Maria MAS PUJOL,Spain,Women,55-59,13:40:16,OCC
1328,1329,Catriona MCGREGOR,United Kingdom,Women,45-49,13:40:19,OCC
1329,1330,Avi HOROWITZ,Israel,Men,60-64,13:40:42,OCC
